codigo_producto,descripcion_art,bodega,segmento,linea_comercial,categoria,criterio_faltante
30088,SINGLETON 15 YO 6X700,Diageo,Super Premium (S),Singleton,Whisky (Maltas),Categoria no es 'Vinos del año'; validar contra Tags Gescom
30089,SINGLETON 18 YO 6X700,Diageo,Super Premium (S),Singleton,Whisky (Maltas),Categoria no es 'Vinos del año'; validar contra Tags Gescom
30032,MALT TALISKER 10YO UK 6X750,Diageo,Super Premium (S),Talisker,Whisky (Maltas),Categoria no es 'Vinos del año'; validar contra Tags Gescom
30033,MALT CAOL ILA 12YO 6X750,Diageo,Super Premium (S),Caol Ila,Whisky (Maltas),Categoria no es 'Vinos del año'; validar contra Tags Gescom
30043,GLEN ELGIN 6X750 ,Diageo,Super Premium (S),Glen Elgin,Whisky (Maltas),Categoria no es 'Vinos del año'; validar contra Tags Gescom
30049,MALT CLYNELISH 14YO 6X750 ,Diageo,Super Premium (S),Clynelish,Whisky (Maltas),Categoria no es 'Vinos del año'; validar contra Tags Gescom
30052,MALT CRAGGANMORE 6X750,Diageo,Super Premium (S),Cragganmore,Whisky (Maltas),Categoria no es 'Vinos del año'; validar contra Tags Gescom
30058,BULLEIT 6x700,Diageo,Premium (S),Bulleit,Bourbon,Categoria no es 'Vinos del año'; validar contra Tags Gescom
30136,BULLEIT 12X750,Diageo,Premium (S),Bulleit,Bourbon,Categoria no es 'Vinos del año'; validar contra Tags Gescom
60001,ANTARES KOLSCH LATA 6X473 (60001),Antares,Cerveza Artesanal,Antares Clasicas,Cerveza Artesanal,Categoria no es 'Vinos del año'; validar contra Tags Gescom
60019,ANTARES IPA SIN ALC LATA 6X473,Antares,Cerveza Artesanal,Antares Clasicas,Cerveza Artesanal,Categoria no es 'Vinos del año'; validar contra Tags Gescom
60018,ANTARES LAGER LATA 6X473,Antares,Cerveza Artesanal,Cerveza Lager,Cerveza Artesanal,Categoria no es 'Vinos del año'; validar contra Tags Gescom
60002,ANTARES SCOTCH LATA 6X473 (60002),Antares,Cerveza Artesanal,Antares Clasicas,Cerveza Artesanal,Categoria no es 'Vinos del año'; validar contra Tags Gescom
60015,ANTARES PLAYA GRANDE LATA6x473 (60015),Antares,Cerveza Artesanal,Antares Clasicas,Cerveza Artesanal,Categoria no es 'Vinos del año'; validar contra Tags Gescom
60020,ANTARES XPA LATA 6x473,Antares,Cerveza Artesanal,Antares Especiales,Cerveza Artesanal,Categoria no es 'Vinos del año'; validar contra Tags Gescom
60017,ANTARES IPA LATA 6X473 (New),Antares,Cerveza Artesanal,Antares Especiales,Cerveza Artesanal,Categoria no es 'Vinos del año'; validar contra Tags Gescom
60007,ANTARES CARAVANA LATA 6X473 (60007),Antares,Cerveza Artesanal,Antares Especiales,Cerveza Artesanal,Categoria no es 'Vinos del año'; validar contra Tags Gescom
60008,ANTARES HONEY LATA 6X473 (60008),Antares,Cerveza Artesanal,Antares Especiales,Cerveza Artesanal,Categoria no es 'Vinos del año'; validar contra Tags Gescom
